FILENAME, QUALITY
vK2bLRNzllXNeyOMudnNSL5cfpG2_breathing-shallow,2
bjA2KpSxneNskrLBeqi4bqoTDQl2_breathing-shallow,2
htQzROl26OWQpIYFDzv11F79PLR2_breathing-shallow,2
pW9mCAeWYiMoM7wW7riLvNRbYDO2_breathing-shallow,2
Eu11s84cuBTiPXTAtVf9mj3GkqA2_breathing-shallow,0
L7S8iIPKgiO6QWLC3mGkROCMa0s1_breathing-shallow,2
eP8gEM0KcBU6S5JpMdycX74KP3p2_breathing-shallow,2
UiUUhL0PMjWVA6W2dKte1DCE6wG2_breathing-shallow,0
QQbzKidDxHQ0eZFEL4uG68s1lc02_breathing-shallow,1
cfZUmZvsecYVKw5eSi4qIhfJVpI3_breathing-shallow,1
tiKv850hJFTmpCAvfJOmOOqkeUs1_breathing-shallow,0
LqGeCxef4fN4IPanKEbWkO1fAwJ3_breathing-shallow,2
XUsJp0qysAPtu3vBI0UCiHRJhZ22_breathing-shallow,2
eZ9KEu3fmEgvxINqgcbkBXoEsv53_breathing-shallow,2
TRK6gUseEUS7dbF0soG80W1uLm53_breathing-shallow,0
iq8oYXczSjPuJoVS7DBpkGNMC2p1_breathing-shallow,1
O4BFgxvAgwbwRGZMkMBJRFnGBbd2_breathing-shallow,1
nMIOAh7qRFf3pqbchclOLKbPDOm1_breathing-shallow,2
Pr79fov0a5TW5KPo0XACvIqMtO72_breathing-shallow,2
KL32QXSSnLZlRRT2B6rQQQKgpx12_breathing-shallow,1
tOlOwYDEHCRx1QegeMOPaydVcgv1_breathing-shallow,1
zvXkuEaPb0OEgG4EHx59NqdmamR2_breathing-shallow,2
9XKj7fAmvwPUas9GFPZuTpev7T03_breathing-shallow,0
l3umDXECeOUTZH8pFN19c2WM4m43_breathing-shallow,2
XVjp63ocWZRqJRdxCtklUfmdklm2_breathing-shallow,2
JmN2KXZoEThB2e8KFMbM7L4fOwy1_breathing-shallow,2
SY4Ekt5W4VZdeIm5r3iLmjxz9pA2_breathing-shallow,2
2XgDqzQkqLX9SbmSHfbqdRxSmRD2_breathing-shallow,0
kIHldMnyvmXvpLq0LjWr7ecclSj2_breathing-shallow,2
U98J2q0NnycYzzUS2BYZpUa55X83_breathing-shallow,2
NWqfdBx5mrglkG4TJ5Gt9mVnYOo2_breathing-shallow,2
KGWBaTNrJmUgzGZw5Xh2ICSHVu92_breathing-shallow,2
mFQ65xqfxpXiS6vwK1HKwq7j8o62_breathing-shallow,0
n7ewrIqB7wUuK1FZGGjef18jtb52_breathing-shallow,2
qHN6U03r3TRKVZ83fmWDDQvtDuz1_breathing-shallow,2
w1TDsR75t5PsGyAksqF3kMQ6DXT2_breathing-shallow,2
maTMkkXbqOhLPOYLpGyMPPigDFt1_breathing-shallow,2
UV965HIG9saPO9HjKNFSm2aFeBt2_breathing-shallow,0
LwfZvk9xa6bAJbz4wQGEcyoDOmL2_breathing-shallow,2
V247RjX91RY4fxtgfeWjvBhg89s2_breathing-shallow,2
g6L8s5Dtq8eIYUTeRWHq0Q7w5L32_breathing-shallow,2
VrBIdIVnQkPbR9D2Gi7WCb17ST62_breathing-shallow,2
aGEXEhp3mbUandZBtCuEooDQrK53_breathing-shallow,2
