FILENAME, QUALITY
vK2bLRNzllXNeyOMudnNSL5cfpG2_cough-heavy,2
bjA2KpSxneNskrLBeqi4bqoTDQl2_cough-heavy,2
htQzROl26OWQpIYFDzv11F79PLR2_cough-heavy,2
pW9mCAeWYiMoM7wW7riLvNRbYDO2_cough-heavy,2
L7S8iIPKgiO6QWLC3mGkROCMa0s1_cough-heavy,2
eP8gEM0KcBU6S5JpMdycX74KP3p2_cough-heavy,2
UiUUhL0PMjWVA6W2dKte1DCE6wG2_cough-heavy,0
QQbzKidDxHQ0eZFEL4uG68s1lc02_cough-heavy,2
cfZUmZvsecYVKw5eSi4qIhfJVpI3_cough-heavy,2
tiKv850hJFTmpCAvfJOmOOqkeUs1_cough-heavy,0
LqGeCxef4fN4IPanKEbWkO1fAwJ3_cough-heavy,2
XUsJp0qysAPtu3vBI0UCiHRJhZ22_cough-heavy,2
eZ9KEu3fmEgvxINqgcbkBXoEsv53_cough-heavy,2
TRK6gUseEUS7dbF0soG80W1uLm53_cough-heavy,0
iq8oYXczSjPuJoVS7DBpkGNMC2p1_cough-heavy,1
O4BFgxvAgwbwRGZMkMBJRFnGBbd2_cough-heavy,2
nMIOAh7qRFf3pqbchclOLKbPDOm1_cough-heavy,2
Pr79fov0a5TW5KPo0XACvIqMtO72_cough-heavy,1
KL32QXSSnLZlRRT2B6rQQQKgpx12_cough-heavy,2
tOlOwYDEHCRx1QegeMOPaydVcgv1_cough-heavy,2
zvXkuEaPb0OEgG4EHx59NqdmamR2_cough-heavy,0
9XKj7fAmvwPUas9GFPZuTpev7T03_cough-heavy,0
l3umDXECeOUTZH8pFN19c2WM4m43_cough-heavy,2
XVjp63ocWZRqJRdxCtklUfmdklm2_cough-heavy,2
JmN2KXZoEThB2e8KFMbM7L4fOwy1_cough-heavy,2
SY4Ekt5W4VZdeIm5r3iLmjxz9pA2_cough-heavy,2
2XgDqzQkqLX9SbmSHfbqdRxSmRD2_cough-heavy,0
kIHldMnyvmXvpLq0LjWr7ecclSj2_cough-heavy,2
U98J2q0NnycYzzUS2BYZpUa55X83_cough-heavy,0
NWqfdBx5mrglkG4TJ5Gt9mVnYOo2_cough-heavy,2
KGWBaTNrJmUgzGZw5Xh2ICSHVu92_cough-heavy,2
mFQ65xqfxpXiS6vwK1HKwq7j8o62_cough-heavy,0
n7ewrIqB7wUuK1FZGGjef18jtb52_cough-heavy,2
qHN6U03r3TRKVZ83fmWDDQvtDuz1_cough-heavy,2
w1TDsR75t5PsGyAksqF3kMQ6DXT2_cough-heavy,2
maTMkkXbqOhLPOYLpGyMPPigDFt1_cough-heavy,2
UV965HIG9saPO9HjKNFSm2aFeBt2_cough-heavy,2
LwfZvk9xa6bAJbz4wQGEcyoDOmL2_cough-heavy,2
V247RjX91RY4fxtgfeWjvBhg89s2_cough-heavy,2
g6L8s5Dtq8eIYUTeRWHq0Q7w5L32_cough-heavy,2
VrBIdIVnQkPbR9D2Gi7WCb17ST62_cough-heavy,2
aGEXEhp3mbUandZBtCuEooDQrK53_cough-heavy,2
tFFUbYL9nSNEyaBK3w9UAtATcgO2_cough-heavy,2
hRB1GYdlKAgCnwg4xFzAUE3SiUG2_cough-heavy,2
O2axQgHDogQ1mORlKYAGiPTiHvB3_cough-heavy,2
wawUd75qJgXdQz6qxRATEzuKvMn1_cough-heavy,2
n4t5cgNQKXO3F8KP55vWOgYWcXC3_cough-heavy,2
l8qDG3sN6tczDZGHbgPje0suopx1_cough-heavy,2
U7UmNZmqS6OWTiDkM7IfqkDRrae2_cough-heavy,2
jRjAYMmAQee5uVm5fU8yVnpuvs33_cough-heavy,0
uMry1yqi5sNoykw7ySJdITMv2yT2_cough-heavy,2
xyDgyXrDoyXu5CFqcNe20LRjYqg1_cough-heavy,2
UhGuA2vn7sUfKJRENR472IxQaEu2_cough-heavy,2
jaNAcGlkQvUYEcRFXm5gNwnOOn93_cough-heavy,2
l6OFgjiE4MT6I6wfoYHk208nEaJ3_cough-heavy,2
O9jPNdypMudWbGGiqtlgi4ae2er1_cough-heavy,1
1pXSBzMeizcu5IpLAJUaYpmJyhB3_cough-heavy,2
4EAxuOcgN5d81JCmqo2YxXlxYNL2_cough-heavy,2
5CuTYRsGM5QRNjG7HejSHQh7ULi1_cough-heavy,2
2SLFvRD3jTUJc8iOMnN2XHG3uXv1_cough-heavy,2
HltnpdE31PPFAFYRdJXRXokmdUF2_cough-heavy,1
MbCfQyWYGIeZ5m0BCTeiM1oi7282_cough-heavy,2
QOmSmWWvcLOxZgzrV4u04ByoebE2_cough-heavy,2
C1Jk83bZcXQM2lljEqVIr6OfMr83_cough-heavy,2
X7NBHQKdeDODKCzXwbmKdIbjIRG2_cough-heavy,1
g1nDdvDWgDhgbVDyfl6NyFIfPAp2_cough-heavy,1
5eEXozx61BXKT71PLRaQASRcC832_cough-heavy,2
QC2olizheGbckya2rPjOWhn00vp1_cough-heavy,2
A6eyvPDHwBNMYFzA65XRMboV96s2_cough-heavy,2
ImU3ZpdqkRPNAy6Ol61zoGuq8sj1_cough-heavy,2
6IBOagmXVWPJaN48oiaAigwiDbw2_cough-heavy,0
6sUnPQNXQCYawfmLL8Pg91UxoiI3_cough-heavy,2
abpYyjmAQAMGlnyqXPGIL9lbnQo2_cough-heavy,0
Na6w7stX7ocNYZPQW9MQAiM6mrw2_cough-heavy,2
UVQ8rnPQiYbVAuvPI1uGYIJZmQZ2_cough-heavy,2
oakTHXyve7PxMjMsDDb7VNnM0Ie2_cough-heavy,2
3LCqXTY14jROmsMpG3XkEiMJ9cD3_cough-heavy,2
j0bgqdkBSRaRrpBmJLa1MkkKg593_cough-heavy,2
t0wrpS8L5WamJS9NhyjeHAqhaVv1_cough-heavy,2
gyzIhontEeY2zHHaiy2zjZot6hg1_cough-heavy,2
l57TNYomN4Z56eIotPFe6hN1Vgm2_cough-heavy,2
evcMtXUBFWS6bXPYqv7BXVfqFIc2_cough-heavy,0
jRlVIgE9hofnOP2Lo8He6ebcecz1_cough-heavy,2
GEPcHiIXaSVyNNL5sqIBZxytIps1_cough-heavy,2
UUzQFgPDt5cC2mL6zDlgm7LvU4r2_cough-heavy,2
3Hi3v8KLYxXvAp9v1fuhKtaU44G2_cough-heavy,2
vw3Nw1Gmt3WA78SHAzJwelNRduv1_cough-heavy,2
7yQ29b3Q1KfOIk5K1MSeGTsWqGB2_cough-heavy,1
L6Bo4rMk15fKste9Gvn7ZyTB4qw2_cough-heavy,2
BRi5khF6PxMORMTOXjeS6r2dNqt1_cough-heavy,1
26xevAvhh4PSIz1ls0QAwwfz89i1_cough-heavy,2
D1d4hc9MrgTDxgAhqpTgqOEJtLp2_cough-heavy,2
a1BWeGHqK6f0KyevbStawfUvvK83_cough-heavy,2
1j2LqFPOJIQ8nTlovQqNr6bdUMl1_cough-heavy,1
UYQqLbdvfMeQOnISZq4Okwuas6K2_cough-heavy,1
QKEe27GzshbGSIGQZ6nB6lpLb7l2_cough-heavy,2
ArKST1jJWqRPPvdCu92MyQoGs762_cough-heavy,1
JLXdsKrUesSLpwUOMSqQFfYwtZ82_cough-heavy,2
V3EIT06H4JN5KwoK8aGRXQNzGRi1_cough-heavy,2
Qxlw2hDL29g1Sb9ZQO3XDPIG5Qr1_cough-heavy,2
2j94Kg8TewQwjwbrRyto6seGsut1_cough-heavy,2
sSJoDuR1etTsr85E8wRfxIvfiCf1_cough-heavy,2
0KOy96zEUfdMY4rZzwrDT0gMPDa2_cough-heavy,2
E3X8YtvZzYZiXwBevZEAByJc2v63_cough-heavy,2
3OQBJD8fnBepqWPGQT3eTozrhLn1_cough-heavy,2
ZmJz4NgHHRZAwzUAVvkXBOmRSTA3_cough-heavy,2
yHn6UxlPk8RvWZ3X5jrTa89CPwG2_cough-heavy,1
M1RgcbGDbWbsxNkmPHlrh9J9n572_cough-heavy,2
LwOBSX8F07Z5HgRGLFS3aOQEVKk2_cough-heavy,2
YjUO0QbUUAUJyUfgApL52jRs8Z52_cough-heavy,2
w51QbggHBvVnSSNG5tsEgScigyF3_cough-heavy,2
PfuMI67JW2h6z4MsRDegrhZ8FSH2_cough-heavy,2
NBD8pzxLyyYZs8wul5W6UUKBZbz1_cough-heavy,2
xO54amKmQMQwbMoSbmADa6Wa2kK2_cough-heavy,1
1kj3twlB9PcVyePxzqNGwnkYZZx2_cough-heavy,1
QX7F5dwjZKPahv2qzqpSSBIyHXg2_cough-heavy,2
VGh9wqs8iDXHhUdrA12VtBhN1lJ3_cough-heavy,2
kkyAPrhvZKNSbFUYBfQ0Ne277D62_cough-heavy,1
w8GzYkRUeuVtuONdQbOrrFefVco1_cough-heavy,1
Qs7OP1Hyo6Y4ZE2s4aZyZ3Ew6r62_cough-heavy,2
ZbFodPVPEZMK0DaH4J74kowt1d53_cough-heavy,2
ZkYT8z9lW7N4UfY1L9CqlOs9ouk1_cough-heavy,2
FQ9gUWPXRGc9z7Q4f3tMojFVrR82_cough-heavy,2
nkSUWnQgO0Tn7flFkVp7CrdsatW2_cough-heavy,1
9LGZxIxgbgSheKov7FzsNcFIu4v1_cough-heavy,1
zAdXj9IixzaM6KUwFYIhXbNJnJ42_cough-heavy,2
UJkJrzKjH6UQRZF7eHhUQVQwCHB2_cough-heavy,1
aisIUPkXXdQv8nvNAjeJb8cebOq2_cough-heavy,2
u1G8LRJRwyUWNf8J9McgKGyfQJ33_cough-heavy,2
g0gdNMhQIbUlZRTod20TdtqafgJ3_cough-heavy,1
cog0Kv05iPM162wFPDfBEnEqpzJ3_cough-heavy,2
dosEoi5rKRVXDZzENH1QpxCfPWu1_cough-heavy,1
YXqC5B7h7iQZH3RubUFG6SBvZ5L2_cough-heavy,1
TIFqRMyFsNVEYSMu9P05PF5N2Px1_cough-heavy,2
1woiacXdMmXUQiMWESqr83uk1NV2_cough-heavy,0
cxchnGnCHJQ3Tjqn5faj2Sfqa0e2_cough-heavy,2
JtJEMsy1XPalUgUWmzkLyq9LWbI2_cough-heavy,2
wq5WR6X7egP0MydXWR8nqSpHqq12_cough-heavy,2
meYzBgsbbHT9rLhVNx4SYzjRYjK2_cough-heavy,2
LVfs0kH8h3YRSg7J3Y8g3ufC3a53_cough-heavy,2
FNjPKyX47sUuQlzMc1urJ3VB3YE3_cough-heavy,2
KqhQ8Eo62fYCdBse8NiW1BYCtxp1_cough-heavy,2
