FILENAME, QUALITY
vK2bLRNzllXNeyOMudnNSL5cfpG2_cough-shallow,2
bjA2KpSxneNskrLBeqi4bqoTDQl2_cough-shallow,2
htQzROl26OWQpIYFDzv11F79PLR2_cough-shallow,2
pW9mCAeWYiMoM7wW7riLvNRbYDO2_cough-shallow,2
L7S8iIPKgiO6QWLC3mGkROCMa0s1_cough-shallow,2
eP8gEM0KcBU6S5JpMdycX74KP3p2_cough-shallow,2
UiUUhL0PMjWVA6W2dKte1DCE6wG2_cough-shallow,0
QQbzKidDxHQ0eZFEL4uG68s1lc02_cough-shallow,1
cfZUmZvsecYVKw5eSi4qIhfJVpI3_cough-shallow,2
tiKv850hJFTmpCAvfJOmOOqkeUs1_cough-shallow,0
LqGeCxef4fN4IPanKEbWkO1fAwJ3_cough-shallow,2
XUsJp0qysAPtu3vBI0UCiHRJhZ22_cough-shallow,2
eZ9KEu3fmEgvxINqgcbkBXoEsv53_cough-shallow,2
TRK6gUseEUS7dbF0soG80W1uLm53_cough-shallow,0
iq8oYXczSjPuJoVS7DBpkGNMC2p1_cough-shallow,2
O4BFgxvAgwbwRGZMkMBJRFnGBbd2_cough-shallow,2
nMIOAh7qRFf3pqbchclOLKbPDOm1_cough-shallow,2
Pr79fov0a5TW5KPo0XACvIqMtO72_cough-shallow,2
KL32QXSSnLZlRRT2B6rQQQKgpx12_cough-shallow,2
tOlOwYDEHCRx1QegeMOPaydVcgv1_cough-shallow,2
zvXkuEaPb0OEgG4EHx59NqdmamR2_cough-shallow,0
9XKj7fAmvwPUas9GFPZuTpev7T03_cough-shallow,0
l3umDXECeOUTZH8pFN19c2WM4m43_cough-shallow,2
XVjp63ocWZRqJRdxCtklUfmdklm2_cough-shallow,2
JmN2KXZoEThB2e8KFMbM7L4fOwy1_cough-shallow,2
SY4Ekt5W4VZdeIm5r3iLmjxz9pA2_cough-shallow,2
2XgDqzQkqLX9SbmSHfbqdRxSmRD2_cough-shallow,0
kIHldMnyvmXvpLq0LjWr7ecclSj2_cough-shallow,2
U98J2q0NnycYzzUS2BYZpUa55X83_cough-shallow,0
NWqfdBx5mrglkG4TJ5Gt9mVnYOo2_cough-shallow,2
KGWBaTNrJmUgzGZw5Xh2ICSHVu92_cough-shallow,2
mFQ65xqfxpXiS6vwK1HKwq7j8o62_cough-shallow,0
n7ewrIqB7wUuK1FZGGjef18jtb52_cough-shallow,2
qHN6U03r3TRKVZ83fmWDDQvtDuz1_cough-shallow,2
